t,ax_B,ay_B,az_B,wx_B,wy_B,wz_B
0,-0.30581,-0.196357,9.99421,-0.0174989,0.0213934,0.14563
0.110132,-0.11934,0.770951,10.5572,-0.00416588,0.0442824,0.139954
0.210042,-0.282148,0.688386,10.2376,8.87048e-06,0.0985029,0.125977
0.310212,-0.656318,0.263237,9.32485,-0.0256632,0.0756804,0.129507
0.420052,-0.427872,0.36591,9.15102,-0.0056205,0.00922806,0.128826
0.520034,-0.175998,0.417634,9.55319,-0.00680676,-0.0151981,0.12469
0.620008,-0.248964,0.212619,9.50689,0.0214403,-0.0146729,0.123087
0.730021,-0.267814,0.541088,9.43716,-0.0137128,-0.0334725,0.119485
0.830196,-0.0157544,0.533785,9.95105,-0.0223317,-0.0286957,0.114402
0.930085,-0.10404,0.437741,9.24093,-0.0386462,-0.0140604,0.114596
1.04007,0.0168004,-0.102647,9.47567,0.0145987,-0.056377,0.114697
1.14006,-0.0366044,0.195614,11.1802,0.0226272,-0.00757221,0.118675
1.24006,-0.198127,0.481941,10.7653,0.027184,0.03949,0.112709
1.35018,-0.260043,0.395519,9.44642,0.00351156,0.0252263,0.114544
1.45005,-0.24308,0.2278,9.16975,0.0144439,-0.0114048,0.118653
1.55008,-0.0516397,0.704558,10.7573,0.00560348,-0.00655502,0.116779
1.66006,-0.0925828,0.420227,9.30061,-0.0192904,0.0205059,0.108324
1.7601,-0.216042,0.151691,9.58703,-0.0189014,-0.0408713,0.109056
1.86018,0.255105,0.294301,9.75775,-0.00507978,-0.0741927,0.110694
1.9601,0.361558,-0.0958339,9.06727,0.0191604,-0.0649544,0.116084
2.07007,0.334598,0.701681,9.90184,0.0454742,-0.0505351,0.120475
2.17022,0.31847,0.584103,10.45,0.0168994,0.0167936,0.117234
2.2801,0.167076,0.611557,10.2226,-0.0178248,0.0419752,0.118646
2.38013,0.0441549,0.232246,9.54507,-0.0171372,0.0406338,0.118432
2.48014,0.0170125,0.225373,9.10404,-0.00718841,-0.0120019,0.11613
2.58012,-0.11366,0.646354,11.2099,-0.00545946,0.0141432,0.111891
2.69011,0.105788,0.119671,10.7273,-0.0329899,0.0793396,0.126235
2.79012,-0.251708,0.115084,9.28105,0.002117,0.0689096,0.117874
2.8903,-0.016363,-0.0433791,8.53832,0.048137,0.0246058,0.112171
3.00011,0.166397,0.531532,9.16793,0.0527473,-0.0176721,0.115836
3.10012,0.414446,0.974957,9.37804,0.0194985,-0.0161717,0.116142
3.21014,0.354212,0.750912,9.93656,-0.056587,-0.0144124,0.118866
3.31036,0.571106,-0.167573,10.2163,-0.0422958,-0.0132092,0.124956
3.41031,0.85456,-0.316392,10.152,0.0261118,0.00118737,0.128064
3.51026,0.909112,0.718677,9.78319,0.0464166,0.0155759,0.122285
3.62014,0.845693,0.726324,9.87058,0.014178,0.0277766,0.127721
3.72015,0.743368,0.487029,9.83476,-0.0214367,0.0295129,0.139556
3.82038,0.81715,0.296915,9.30334,-0.00162732,-0.00719518,0.140757
3.93024,0.944873,0.646055,9.82377,0.00114523,-0.0249013,0.143611
4.03023,0.965517,0.529628,9.96888,-0.000637854,-0.0180846,0.145594
