x,y,z,roll,pitch,yaw
29.5589,-34.1647,4.4414,0.12544,0.162568,-2.01709
29.6689,-34.6665,4.4911,0.12544,0.162568,-2.01709
29.5388,-34.968,4.64121,0.12544,0.162568,-2.01709
29.4895,-35.3632,4.70786,0.12544,0.162568,-2.01709
29.4316,-35.764,4.77405,0.12544,0.162568,-2.01709
29.3712,-36.2335,4.83075,0.12544,0.162568,-2.01709
29.2723,-36.6232,4.87791,0.12544,0.162568,-2.01709
29.1774,-37.0631,4.90866,0.12544,0.162568,-2.01709
29.0587,-37.4675,4.96422,0.12544,0.162568,-2.01709
28.889,-37.934,4.98148,0.12544,0.162568,-2.01709
28.7636,-38.3729,5.03249,0.12544,0.162568,-2.01709
28.5921,-38.7864,5.07749,0.12544,0.162568,-2.01709
28.442,-39.3004,5.13443,0.12544,0.162568,-2.01709
28.299,-39.7767,5.189,0.12544,0.162568,-2.01709
28.1611,-40.2698,5.23939,0.12544,0.162568,-2.01709
28.0038,-40.8268,5.29222,0.12544,0.162568,-2.01709
27.8514,-41.345,5.34217,0.12544,0.162568,-2.01709
27.6886,-41.8742,5.38985,0.12544,0.162568,-2.01709
27.5042,-42.4743,5.44096,0.12544,0.162568,-2.01709
27.3616,-43.0586,5.49216,0.12544,0.162568,-2.01709
27.1772,-43.6317,5.5402,0.12544,0.162568,-2.01709
26.9812,-44.2174,5.58721,0.12544,0.162568,-2.01709
26.7507,-44.879,5.63575,0.12544,0.162568,-2.01709
26.5311,-45.495,5.67759,0.12544,0.162568,-2.01709
26.2735,-46.1888,5.72144,0.12544,0.162568,-2.01709
26.0107,-46.8219,5.75323,0.12544,0.162568,-2.01709
25.6901,-47.4668,5.71539,0.12544,0.162568,-2.01709
25.3771,-48.1025,5.74142,0.12544,0.162568,-2.01709
25.0504,-48.8475,5.78085,0.12544,0.162568,-2.01709
24.7375,-49.5385,5.81849,0.12544,0.162568,-2.01709
