t,x,y,z,vx,vy,vz,roll,pitch,yaw
0,0,0,0,-3.26925,-2.24539,0.204764,0.055126,-0.036166,-2.54026
0.0999946,-0.324125,-0.21914,0.0197971,-3.21331,-2.13803,0.191224,0.051932,-0.0364381,-2.53823
0.210009,-0.676351,-0.446559,0.0390994,-3.19027,-1.99635,0.159691,0.0523545,-0.0355508,-2.53323
0.310155,-0.994956,-0.640923,0.0530587,-3.17327,-1.88441,0.118999,0.0589418,-0.0353757,-2.52572
0.410073,-1.31051,-0.828287,0.0654684,-3.14348,-1.86497,0.129394,0.0649489,-0.0364696,-2.5164
0.520033,-1.65596,-1.03243,0.0791308,-3.13967,-1.84792,0.119102,0.0654025,-0.0372736,-2.50291
0.620034,-1.9684,-1.21831,0.093834,-3.10848,-1.87004,0.17493,0.0613316,-0.0375127,-2.48737
0.720035,-2.27844,-1.40677,0.111711,-3.09169,-1.90008,0.182567,0.0547572,-0.0361777,-2.47096
0.830247,-2.62169,-1.61506,0.127708,-3.13674,-1.88053,0.107778,0.0494113,-0.0367581,-2.45198
0.930031,-2.9369,-1.80244,0.137166,-3.18075,-1.87522,0.0818012,0.0489396,-0.0392926,-2.43403
1.03005,-3.25605,-1.99127,0.145971,-3.20074,-1.89962,0.0942886,0.052532,-0.0431849,-2.41583
1.14004,-3.60725,-2.2036,0.158582,-3.18445,-1.9604,0.135053,0.053978,-0.0482303,-2.39608
1.24005,-3.92534,-2.40276,0.173157,-3.17636,-2.02224,0.156442,0.052721,-0.0519575,-2.37776
1.3402,-4.24382,-2.60902,0.189086,-3.18242,-2.09711,0.161639,0.0473609,-0.0541851,-2.35972
1.45007,-4.59443,-2.84346,0.207313,-3.19858,-2.17149,0.170087,0.0396257,-0.0540834,-2.34103
1.55005,-4.90458,-3.0693,0.224634,-3.20656,-2.26186,0.18999,0.029295,-0.0487155,-2.32416
1.65007,-5.18626,-3.30877,0.246666,-3.15138,-2.32356,0.242758,0.015153,-0.0559538,-2.31246
1.76008,-5.54836,-3.54946,0.277801,-3.17035,-2.37812,0.28274,0.0119689,-0.0566079,-2.28235
1.8601,-5.79188,-3.77027,0.306205,-3.02554,-2.41815,0.249191,0.00455644,-0.0700307,-2.22984
1.9601,-5.9069,-4.27005,0.339545,-2.79607,-2.73578,0.176978,-0.0239104,-0.0738018,-2.2289
2.07011,-6.06924,-4.69898,0.382001,-2.58243,-2.91149,0.172,-0.0489955,-0.0873689,-2.19091
2.1701,-6.25199,-5.01136,0.39955,-2.54842,-2.93153,0.220629,-0.0519387,-0.0916391,-2.19727
2.27013,-6.45065,-5.46391,0.433626,-2.53308,-3.08031,0.256639,-0.0517128,-0.091656,-2.25347
2.38016,-6.75331,-5.99497,0.51622,-2.61799,-3.26577,0.261792,-0.0485014,-0.0691508,-2.30172
2.48011,-6.96923,-6.3486,0.568554,-2.54685,-3.27313,0.312552,-0.0499763,-0.0679888,-2.31051
2.59013,-7.3082,-6.75576,0.618,-2.56199,-3.21712,0.364647,-0.048268,-0.0579076,-2.32372
2.69012,-7.40186,-6.99539,0.659599,-2.40029,-2.98307,0.342127,-0.0487224,-0.0777587,-2.33161
2.79022,-7.83408,-7.39868,0.687438,-2.54512,-2.9833,0.259033,-0.0349426,-0.0689092,-2.35809
2.90011,-8.09965,-7.72036,0.720436,-2.47478,-2.90091,0.234469,-0.0429616,-0.0754351,-2.37356
3.00014,-8.35118,-8.00452,0.742044,-2.44407,-2.77488,0.254427,-0.0453508,-0.0829735,-2.38676
3.11015,-9.21365,-8.35168,0.81641,-2.88417,-2.81692,0.368511,-0.0743066,-0.0425509,-2.49626
3.21011,-9.54915,-8.64059,0.856489,-2.88622,-2.73336,0.414905,-0.0683413,-0.0408038,-2.51607
3.31044,-10.2412,-9.15584,0.882234,-3.18637,-2.77435,0.35504,-0.0394082,-0.0260413,-2.52029
3.42018,-10.659,-9.50514,0.919676,-3.24111,-2.69701,0.33139,-0.033794,-0.0256059,-2.54512
3.52019,-11.0072,-9.79153,0.953277,-3.26963,-2.58802,0.344904,-0.0307259,-0.0261253,-2.5679
3.62016,-11.3717,-10.0627,0.988911,-3.29639,-2.49478,0.361669,-0.0325592,-0.0231999,-2.5875
3.73019,-11.8391,-10.3844,1.02841,-3.37499,-2.40558,0.399364,-0.0321427,-0.0175615,-2.59734
3.83023,-12.1759,-10.611,1.06955,-3.37097,-2.29985,0.398329,-0.0322735,-0.0151975,-2.62059
3.93017,-12.5437,-10.8566,1.10571,-3.38855,-2.19671,0.361019,-0.0311226,-0.0147288,-2.63754
4.04018,-12.9328,-11.0897,1.13988,-3.41898,-2.06693,0.343146,-0.0243039,-0.012173,-2.65299
4.14016,-13.3001,-11.2504,1.17156,-3.44432,-1.9571,0.30367,-0.0193272,-0.0125679,-2.65424
4.24019,-13.6512,-11.4431,1.2013,-3.4337,-1.9009,0.291781,-0.0207323,-0.0135449,-2.67054
4.35046,-14.0601,-11.682,1.22834,-3.44724,-1.81103,0.313345,-0.0212448,-0.0128011,-2.68149
4.45022,-14.4332,-11.89,1.25639,-3.46425,-1.7274,0.332248,-0.0200377,-0.0112708,-2.68444
4.55021,-14.8983,-12.1866,1.27056,-3.505,-1.74958,0.344955,-0.0149614,-0.00550791,-2.68441
4.66021,-15.2906,-12.388,1.30114,-3.46198,-1.74797,0.33802,-0.0136523,-0.00442389,-2.68545
4.76022,-15.6957,-12.639,1.312,-3.4353,-1.75946,0.303632,-0.0151928,-0.00668817,-2.69211
4.86026,-16.0471,-12.8231,1.34099,-3.41007,-1.72674,0.298736,-0.015214,-0.006327,-2.68994
4.97024,-16.5643,-13.1838,1.35494,-3.4275,-1.81974,0.299994,-0.0179316,-0.00244218,-2.6783
5.07031,-17.1407,-13.6289,1.3562,-3.49443,-1.96027,0.289022,-0.0210464,0.00469473,-2.66732
5.17024,-17.6227,-14.0136,1.37656,-3.51595,-2.06935,0.284814,-0.0215919,0.00985137,-2.6765
5.28043,-18.0849,-14.2747,1.41628,-3.51719,-2.07397,0.297881,-0.0221242,0.00882876,-2.67103
5.38032,-18.5103,-14.6134,1.41573,-3.48,-2.157,0.298364,-0.0303059,0.0111539,-2.6759
5.48024,-18.9288,-14.8584,1.44556,-3.43965,-2.18445,0.301832,-0.0306377,0.00983006,-2.66899
5.59024,-20.1187,-15.7998,1.36851,-3.62662,-2.38575,0.2607,-0.0200689,0.00908988,-2.67979
5.69031,-20.4753,-16.0372,1.39351,-3.50102,-2.35933,0.238937,-0.0209193,0.00870001,-2.67361
5.79052,-20.8316,-16.2809,1.41692,-3.38205,-2.33184,0.237605,-0.0197674,0.00738655,-2.66873
5.9003,-21.2004,-16.5412,1.44302,-3.23208,-2.31246,0.246451,-0.0198016,0.00592478,-2.66105
6.00027,-21.5169,-16.7713,1.46792,-3.09888,-2.2891,0.251615,-0.0199593,0.00441981,-2.65354
6.10027,-21.8203,-16.9995,1.49357,-2.96967,-2.27529,0.261406,-0.0209023,0.00308756,-2.64448
