t,x,y,z,vx,vy,vz,roll,pitch,yaw
0,0,0,0,-3.26925,-2.24539,0.204764,0.055126,-0.036166,-2.54026
0.0999946,-0.315906,-0.219821,0.0173111,-3.20002,-2.20792,0.194145,0.051748,-0.036504,-2.53788
0.210009,-0.658339,-0.455769,0.0313797,-3.15976,-2.14168,0.179495,0.052338,-0.035138,-2.53296
0.310155,-0.968828,-0.664502,0.0387115,-3.14591,-2.07145,0.142769,0.06006,-0.034464,-2.52542
0.410073,-1.27635,-0.875237,0.0456924,-3.11177,-2.09584,0.135011,0.066847,-0.035106,-2.51598
0.520033,-1.60845,-1.1162,0.0557098,-3.07378,-2.17164,0.157835,0.067625,-0.034876,-2.50255
0.620034,-1.9067,-1.34346,0.0634003,-3.04033,-2.24774,0.189428,0.063773,-0.034404,-2.48641
0.720035,-2.19958,-1.58216,0.0716782,-3.00549,-2.35028,0.216171,0.057332,-0.031571,-2.46973
0.830247,-2.52601,-1.85186,0.0825348,-3.01866,-2.4218,0.16474,0.051921,-0.030883,-2.45067
0.930031,-2.82735,-2.10215,0.0825882,-3.05792,-2.47206,0.118679,0.052813,-0.032973,-2.43243
1.03005,-3.13348,-2.35835,0.0855408,-3.08752,-2.54299,0.11331,0.058108,-0.036111,-2.41416
1.14004,-3.46745,-2.65558,0.0919495,-3.08193,-2.66674,0.129594,0.060684,-0.040185,-2.39432
1.24005,-3.76923,-2.93935,0.106972,-3.07064,-2.79959,0.156878,0.060213,-0.042829,-2.37572
1.3402,-4.07091,-3.23746,0.12265,-3.06724,-2.94375,0.155388,0.054769,-0.043968,-2.35734
1.45007,-4.40264,-3.58422,0.133751,-3.07761,-3.10276,0.15059,0.048145,-0.043066,-2.33825
1.55005,-4.70825,-3.91163,0.143806,-3.10023,-3.24111,0.159596,0.042135,-0.040465,-2.32275
1.65007,-5.01732,-4.25158,0.156181,-3.13999,-3.35279,0.193582,0.039603,-0.037695,-2.30925
1.76008,-5.36482,-4.63603,0.180161,-3.18351,-3.48275,0.250297,0.036269,-0.033022,-2.29746
1.8601,-5.68174,-5.00379,0.198997,-3.22343,-3.61832,0.246486,0.035585,-0.026908,-2.29085
