x,y,z,roll,pitch,yaw
-16.2382,-13.3579,1.17739,-0.0369588,0.0467898,-1.42141
-16.6286,-13.5786,1.20659,-0.0369588,0.0467898,-1.42141
-17.0168,-13.7973,1.23428,-0.0369588,0.0467898,-1.42141
-17.4408,-14.037,1.26466,-0.0369588,0.0467898,-1.42141
-17.8236,-14.2566,1.2922,-0.0369588,0.0467898,-1.42141
-18.2028,-14.4772,1.31894,-0.0369588,0.0467898,-1.42141
-18.6175,-14.7203,1.34811,-0.0369588,0.0467898,-1.42141
-18.99,-14.9394,1.37535,-0.0369588,0.0467898,-1.42141
-19.3577,-15.1579,1.40324,-0.0369588,0.0467898,-1.42141
-19.7527,-15.3973,1.43303,-0.0369588,0.0467898,-1.42141
-20.1003,-15.6118,1.45798,-0.0369588,0.0467898,-1.42141
-20.4366,-15.8221,1.48131,-0.0369588,0.0467898,-1.42141
-20.7907,-16.0474,1.50672,-0.0369588,0.0467898,-1.42141
-21.1,-16.2482,1.52995,-0.0369588,0.0467898,-1.42141
-21.3973,-16.4834,1.55336,-0.0369588,0.0467898,-1.42141
-21.6833,-16.638,1.57733,-0.0369588,0.0467898,-1.42141
-21.9861,-16.8454,1.60197,-0.0369588,0.0467898,-1.42141
-22.255,-17.0086,1.63127,-0.0369588,0.0467898,-1.42141
-22.5049,-17.2149,1.65082,-0.0369588,0.0467898,-1.42141
-22.7726,-17.4131,1.67569,-0.0369588,0.0467898,-1.42141
-23.0086,-17.5917,1.70965,-0.0369588,0.0467898,-1.42141
-22.9951,-17.7637,1.71894,-0.0369588,0.0467898,-1.42141
-23.5133,-17.9777,1.73896,-0.0369588,0.0467898,-1.42141
-23.6553,-18.1039,1.76046,-0.0369588,0.0467898,-1.42141
-23.8378,-18.2546,1.7786,-0.0369588,0.0467898,-1.42141
-24.0261,-18.4133,1.7972,-0.0369588,0.0467898,-1.42141
-24.1936,-18.5537,1.81251,-0.0369588,0.0467898,-1.42141
-24.3525,-18.6904,1.82675,-0.0369588,0.0467898,-1.42141
-24.5199,-18.8361,1.84156,-0.0369588,0.0467898,-1.42141
-24.6649,-18.9648,1.85357,-0.0369588,0.0467898,-1.42141
-24.8027,-19.0896,1.86516,-0.0369588,0.0467898,-1.42141
-24.9452,-19.2207,1.87889,-0.0369588,0.0467898,-1.42141
-25.0654,-19.3343,1.89172,-0.0369588,0.0467898,-1.42141
-25.1764,-19.4422,1.90423,-0.0369588,0.0467898,-1.42141
-25.2899,-19.5556,1.91661,-0.0369588,0.0467898,-1.42141
-25.3889,-19.6564,1.92693,-0.0369588,0.0467898,-1.42141
-25.4959,-19.7666,1.93873,-0.0369588,0.0467898,-1.42141
-25.5923,-19.8656,1.95004,-0.0369588,0.0467898,-1.42141
-25.688,-19.9637,1.96157,-0.0369588,0.0467898,-1.42141
-25.7677,-20.0525,1.9749,-0.0369588,0.0467898,-1.42141
-25.8872,-20.1753,1.98421,-0.0369588,0.0467898,-1.42141
-25.9314,-20.2368,1.99275,-0.0369588,0.0467898,-1.42141
-26.0447,-20.3588,2.00179,-0.0369588,0.0467898,-1.42141
-26.1557,-20.4783,2.01154,-0.0369588,0.0467898,-1.42141
-26.2745,-20.6077,2.02419,-0.0369588,0.0467898,-1.42141
-26.4016,-20.7475,2.04107,-0.0369588,0.0467898,-1.42141
-26.5504,-20.9132,2.06325,-0.0369588,0.0467898,-1.42141
-26.6932,-21.0766,2.08339,-0.0369588,0.0467898,-1.42141
-26.8414,-21.2529,2.10198,-0.0369588,0.0467898,-1.42141
-27.0092,-21.4624,2.12203,-0.0369588,0.0467898,-1.42141
-27.165,-21.6686,2.13899,-0.0369588,0.0467898,-1.42141
-27.3217,-21.8903,2.15341,-0.0369588,0.0467898,-1.42141
-27.4937,-22.1525,2.16721,-0.0369588,0.0467898,-1.42141
-27.6477,-22.4077,2.18055,-0.0369588,0.0467898,-1.42141
-27.797,-22.6802,2.19755,-0.0369588,0.0467898,-1.42141
-27.9403,-22.9702,2.21546,-0.0369588,0.0467898,-1.42141
-28.0897,-23.3073,2.23404,-0.0369588,0.0467898,-1.42141
-28.224,-23.6331,2.25138,-0.0369588,0.0467898,-1.42141
-28.3406,-23.9753,2.26769,-0.0369588,0.0467898,-1.42141
-28.4625,-24.372,2.28038,-0.0369588,0.0467898,-1.42141
-28.5601,-24.7541,2.28616,-0.0369588,0.0467898,-1.42141
-28.6436,-25.1582,2.29107,-0.0369588,0.0467898,-1.42141
-28.718,-25.6282,2.29704,-0.0369588,0.0467898,-1.42141
-28.7706,-26.0778,2.29767,-0.0369588,0.0467898,-1.42141
-28.81,-26.596,2.29344,-0.0369588,0.0467898,-1.42141
-28.8288,-27.0891,2.29538,-0.0369588,0.0467898,-1.42141
-28.8029,-27.5769,2.30348,-0.0369588,0.0467898,-1.42141
-28.8185,-28.14,2.30777,-0.0369588,0.0467898,-1.42141
-28.7746,-28.7513,2.30989,-0.0369588,0.0467898,-1.42141
-28.707,-29.3284,2.30932,-0.0369588,0.0467898,-1.42141
-28.6176,-29.9218,2.30597,-0.0369588,0.0467898,-1.42141
-28.4989,-30.5968,2.30102,-0.0369588,0.0467898,-1.42141
-28.3726,-31.2312,2.29702,-0.0369588,0.0467898,-1.42141
-28.2249,-31.8869,2.29318,-0.0369588,0.0467898,-1.42141
-28.0373,-32.6299,2.28822,-0.0369588,0.0467898,-1.42141
-27.8478,-33.3199,2.28067,-0.0369588,0.0467898,-1.42141
-27.6431,-34.0265,2.27245,-0.0369588,0.0467898,-1.42141
-27.4002,-34.813,2.26919,-0.0369588,0.0467898,-1.42141
-27.1626,-35.5449,2.26911,-0.0369588,0.0467898,-1.42141
-26.9086,-36.2926,2.26463,-0.0369588,0.0467898,-1.42141
